Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2017-01-01,BTCUSD,966.34,1005,960.53,998.8,6665.42,6579903.85
2017-01-02,BTCUSD,997.75,1032,990.01,1014.1,8085.06,8190254.59
2017-01-03,BTCUSD,1011.44,1039,999.99,1036.99,8779.72,8955192.92
2017-01-04,BTCUSD,1035.51,1139.89,1028.56,1122.56,21371.6,23257162.08
2017-01-05,BTCUSD,1114.38,1136.72,885.41,994.02,34736.36,35036904.22
2017-01-06,BTCUSD,1004.73,1026.99,871,891.56,27597.93,25238781.34
2017-01-07,BTCUSD,894.02,906,812.28,897.14,19697.24,17026388.21
2017-01-08,BTCUSD,906.2,941.81,881.3,906.17,8849.68,8088448.27
2017-01-09,BTCUSD,909.8,912.87,875,899.99,8663.98,7733150.91
2017-01-10,BTCUSD,896.09,912.47,889.41,907.96,7931.46,7157833.4
2017-01-11,BTCUSD,905.05,918.4,755,788.81,35446.63,29111252.67
2017-01-12,BTCUSD,778.7,832.99,751.34,816,17298.71,13545426.73
2017-01-13,BTCUSD,807.51,831.4,775,826.9,11298.84,9133431.3
2017-01-14,BTCUSD,825.98,837.76,810,819.66,6581.1,5442676.2
2017-01-15,BTCUSD,819.52,823.45,808,822.47,4203.56,3432426.03
2017-01-16,BTCUSD,821.86,835,818.09,829.62,6136.18,5082219.0
2017-01-17,BTCUSD,831.76,908.5,827,906.08,12173.38,10693223.8
2017-01-18,BTCUSD,905.95,915.99,851.74,876.74,11022.4,9689310.45
2017-01-19,BTCUSD,887.69,910,878.89,900.46,11066.52,9904314.22
2017-01-20,BTCUSD,902.23,902.43,880,895.62,6605.45,5904057.73
2017-01-21,BTCUSD,895.81,928,895,921.1,5817.93,5329454.56
2017-01-22,BTCUSD,921.98,937.74,886.76,919.39,7066.33,6476841.64
2017-01-23,BTCUSD,923.75,927.57,913.21,921.39,3339.46,3073522.47
2017-01-24,BTCUSD,913.15,923,886.27,893,8821.87,7978981.16
2017-01-25,BTCUSD,885.47,904.01,884.5,892.95,5289.95,4724511.12
2017-01-26,BTCUSD,893.25,919.49,892.86,916.34,5107.77,4635817.25
2017-01-27,BTCUSD,914.95,924.88,908.01,917.84,4817.73,4422003.07
2017-01-28,BTCUSD,918.02,920.99,913.08,917.75,1144.75,1050315.48
2017-01-29,BTCUSD,918.6,919.99,910.45,913.1,1322.86,1210874.32
2017-01-30,BTCUSD,913.12,923,910,921.08,2997.2,2750934.15
2017-01-31,BTCUSD,919.99,970,917.5,965.01,9315.91,8839243.99
2017-02-01,BTCUSD,963.99,986.96,962,983.36,6874.21,6669709.8
2017-02-02,BTCUSD,983.79,1011.65,973.12,1008.18,8205.72,8158190.25
2017-02-03,BTCUSD,1009.15,1022.64,987.01,1012.64,10799.51,10899361.44
2017-02-04,BTCUSD,1015.06,1044.23,1004,1034.44,5725.94,5857358.53
2017-02-05,BTCUSD,1033.72,1034.6,1004.7,1014.57,4318.54,4387548.42
2017-02-06,BTCUSD,1010.03,1031.94,1005.1,1023.7,5069.03,5176624.63
2017-02-07,BTCUSD,1024,1056.25,1021.3,1054.12,5280.65,5509558.04
2017-02-08,BTCUSD,1052.48,1070,1025,1056.99,9568.8,10005034.74
2017-02-09,BTCUSD,1051.73,1074.69,913.73,981.96,24957.61,24875574.97
2017-02-10,BTCUSD,985.71,1010.68,950,997.57,10634.42,10395040.24
2017-02-11,BTCUSD,995.49,1020,987.62,1011.98,4426.59,4462704.29
2017-02-12,BTCUSD,1011.01,1011.97,991.98,1001.63,2662.09,2668338.13
2017-02-13,BTCUSD,1000.73,1007.89,975.1,1000.25,4540.29,4515153.39
2017-02-14,BTCUSD,1000.74,1019,987.97,1011.51,6536.91,6580183.46
2017-02-15,BTCUSD,1008.88,1013.8,1000.97,1011.53,3095.66,3123812.22
2017-02-16,BTCUSD,1011.53,1043.21,1010.75,1032.7,5996.1,6170238.86
2017-02-17,BTCUSD,1032.7,1064.99,1031.98,1055.46,6085.02,6386285.16
2017-02-18,BTCUSD,1055.46,1068.99,1046.14,1056.4,4471.03,4741677.69
2017-02-19,BTCUSD,1056.4,1061.9,1039.07,1051.8,2270.85,2388775.41
2017-02-20,BTCUSD,1051.8,1089.99,1044.39,1084,3664.0,3902264.53
2017-02-21,BTCUSD,1084,1126.86,1077,1124.62,8394.92,9273043.86
2017-02-22,BTCUSD,1124.62,1143,1098.16,1130.01,11672.0,13145511.0
2017-02-23,BTCUSD,1130.01,1193.92,1120.73,1188.11,11752.03,13556658.98
2017-02-24,BTCUSD,1188.11,1220,1091.1,1180.14,19597.57,23022719.16
2017-02-25,BTCUSD,1180.14,1184.73,1127,1152.2,6238.36,7226356.76
2017-02-26,BTCUSD,1152.2,1184.97,1133,1179.05,3536.49,4127618.08
2017-02-27,BTCUSD,1179.05,1197.99,1169,1194.64,4638.0,5508029.79
