Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-01-01 01-AM,BTCUSD,7150,7202.52,7150,7197.17,96.12,690803.66
2020-01-01 01-PM,BTCUSD,7200.93,7214.06,7194.15,7202.36,58.61,422114.88
2020-01-01 02-AM,BTCUSD,7197.17,7221.46,7189.09,7221.34,62.11,447816.21
2020-01-01 02-PM,BTCUSD,7202.36,7217.76,7185.38,7195.79,36.48,262829.21
2020-01-01 03-AM,BTCUSD,7221.34,7221.34,7192.83,7198,50.12,361278.22
2020-01-01 03-PM,BTCUSD,7195.79,7237.35,7195.79,7212.5,58.93,425160.78
2020-01-01 04-AM,BTCUSD,7198,7204.36,7187.02,7188.62,25.66,184708.39
2020-01-01 04-PM,BTCUSD,7212.5,7229.8,7193.66,7224.31,47.41,341734.49
2020-01-01 05-AM,BTCUSD,7188.62,7203.55,7188.62,7194.51,16.15,116185.53
2020-01-01 05-PM,BTCUSD,7224.31,7231.81,7205.02,7216.06,34.96,252488.84
2020-01-01 06-AM,BTCUSD,7194.51,7208.04,7194.51,7204.71,57.36,413286.72
2020-01-01 06-PM,BTCUSD,7216.06,7228.68,7205.13,7225.58,28.42,205074.09
2020-01-01 07-AM,BTCUSD,7204.71,7210.24,7174.57,7187.29,39.92,287317.37
2020-01-01 07-PM,BTCUSD,7225.58,7225.58,7200.55,7212.38,24.65,177744.99
2020-01-01 08-AM,BTCUSD,7187.29,7187.29,7153.76,7175.7,57.74,414046.08
2020-01-01 08-PM,BTCUSD,7212.38,7224.08,7202.12,7212.81,29.49,212745.55
2020-01-01 09-AM,BTCUSD,7175.7,7186.69,7164.28,7164.28,32.17,230875.54
2020-01-01 09-PM,BTCUSD,7212.81,7224.75,7203.67,7212.54,17.21,124158.83
2020-01-01 10-AM,BTCUSD,7164.28,7191.7,7164.17,7179.84,64.14,460529.61
2020-01-01 10-PM,BTCUSD,7212.54,7217.84,7161.25,7170.44,69.33,499064.44
2020-01-01 11-AM,BTCUSD,7179.84,7222.84,7168.2,7180.94,67.74,486689.05
2020-01-01 11-PM,BTCUSD,7170.44,7183.94,7151.96,7178.68,45.27,324512.08
2020-01-01 12-AM,BTCUSD,7168.36,7168.36,7150,7150,55.18,394860.64
2020-01-01 12-PM,BTCUSD,7180.94,7209.01,7173.43,7200.93,43.95,316245.74
2020-01-02 01-AM,BTCUSD,7184.86,7184.86,7158.1,7163.27,39.07,280024.2
