Day,bitcoin
2020-02-22,27
2020-02-23,26
2020-02-24,32
2020-02-25,33
2020-02-26,34
2020-02-27,35
2020-02-28,36
2020-02-29,27
2020-03-01,27
2020-03-02,28
2020-03-03,27
2020-03-04,26
2020-03-05,27
2020-03-06,28
2020-03-07,25
2020-03-08,26
2020-03-09,51
2020-03-10,36
2020-03-11,31
2020-03-12,65
2020-03-13,100
2020-03-14,55
2020-03-15,45
2020-03-16,63
2020-03-17,49
2020-03-18,49
2020-03-19,52
2020-03-20,49
2020-03-21,40
2020-03-22,39
2020-03-23,44
2020-03-24,45
2020-03-25,38
2020-03-26,34
2020-03-27,32
2020-03-28,33
2020-03-29,31
2020-03-30,31
2020-03-31,27
2020-04-01,29
2020-04-02,33
2020-04-03,31
2020-04-04,29
2020-04-05,28
2020-04-06,35
2020-04-07,34
2020-04-08,32
2020-04-09,30
2020-04-10,34
2020-04-11,30
2020-04-12,31
2020-04-13,33
2020-04-14,30
2020-04-15,30
2020-04-16,34
2020-04-17,30
2020-04-18,29
2020-04-19,29
2020-04-20,30
2020-04-21,28
2020-04-22,28
2020-04-23,37
2020-04-24,33
2020-04-25,35
2020-04-26,35
2020-04-27,34
2020-04-28,34
2020-04-29,51
2020-04-30,56
2020-05-01,42
2020-05-02,39
2020-05-03,39
2020-05-04,40
2020-05-05,39
2020-05-06,45
2020-05-07,57
2020-05-08,66
2020-05-09,50
2020-05-10,75
2020-05-11,83
2020-05-12,57
2020-05-13,51
2020-05-14,48
2020-05-15,43
2020-05-16,39
2020-05-17,39
2020-05-18,41
2020-05-19,36
2020-05-20,39
2020-05-21,40
2020-05-22,34
2020-05-23,31
2020-05-24,33
